county,cy,state,arrests,pop,arrests_pc,county_lower
Adams County,2022,WA,3,20843,14.393321498824545,adams
Adams County,2023,WA,0,20857,0,adams
Adams County,2024,WA,2,21039,9.506155235514996,adams
Adams County,2025,WA,2,21039,9.506155235514996,adams
Asotin County,2022,WA,0,22497,0,asotin
Asotin County,2023,WA,0,22510,0,asotin
Asotin County,2024,WA,1,22523,4.439905873995471,asotin
Asotin County,2025,WA,0,22523,0,asotin
Benton County,2022,WA,3,212838,1.4095227356017253,benton
Benton County,2023,WA,5,215445,2.32077792476038,benton
Benton County,2024,WA,4,218190,1.8332645859113617,benton
Benton County,2025,WA,60,218190,27.498968788670425,benton
Chelan County,2022,WA,4,80032,4.998000799680128,chelan
Chelan County,2023,WA,6,80439,7.459068362361541,chelan
Chelan County,2024,WA,8,81228,9.848820603732703,chelan
Chelan County,2025,WA,40,81228,49.244103018663516,chelan
Clallam County,2022,WA,0,77675,0,clallam
Clallam County,2023,WA,1,77589,1.2888424905592288,clallam
Clallam County,2024,WA,2,77958,2.565483978552554,clallam
Clallam County,2025,WA,6,77958,7.696451935657661,clallam
Clark County,2022,WA,19,517036,3.674792470930458,clark
Clark County,2023,WA,15,522467,2.870994723111699,clark
Clark County,2024,WA,14,527269,2.6551911832480197,clark
Clark County,2025,WA,247,527269,46.845158733018636,clark
Cowlitz County,2022,WA,2,112058,1.7847900194542112,cowlitz
Cowlitz County,2023,WA,2,113040,1.7692852087756548,cowlitz
Cowlitz County,2024,WA,0,113982,0,cowlitz
Cowlitz County,2025,WA,53,113982,46.49856994964117,cowlitz
Douglas County,2022,WA,1,44147,2.265159580492446,douglas
Douglas County,2023,WA,1,45010,2.221728504776716,douglas
Douglas County,2024,WA,0,45795,0,douglas
Douglas County,2025,WA,3,45795,6.550933508024893,douglas
Franklin County,2022,WA,29,98461,29.45328607265821,franklin
Franklin County,2023,WA,35,99554,35.15679932498946,franklin
Franklin County,2024,WA,36,101238,35.55977004682037,franklin
Franklin County,2025,WA,66,101238,65.192911752504,franklin
Grant County,2022,WA,1,101308,0.9870888774825285,grant
Grant County,2023,WA,7,103088,6.790315070619277,grant
Grant County,2024,WA,8,104717,7.639638263128241,grant
Grant County,2025,WA,22,104717,21.009005223602664,grant
Grays Harbor County,2022,WA,17,77080,22.055007784120395,grays harbor
Grays Harbor County,2023,WA,23,77570,29.65063813329896,grays harbor
Grays Harbor County,2024,WA,16,77893,20.540998549291977,grays harbor
Grays Harbor County,2025,WA,10,77893,12.838124093307487,grays harbor
Island County,2022,WA,1,86744,1.1528174859356266,island
Island County,2023,WA,3,86369,3.473468489851683,island
Island County,2024,WA,0,86478,0,island
Island County,2025,WA,4,86478,4.625453872661255,island
King County,2022,WA,1535,2271238,67.58428663134379,king
King County,2023,WA,1776,2296813,77.32453621605242,king
King County,2024,WA,448,2340211,19.143572951327894,king
King County,2025,WA,1032,2340211,44.098587691451755,king
Kitsap County,2022,WA,1,277876,0.359872748995955,kitsap
Kitsap County,2023,WA,0,277650,0,kitsap
Kitsap County,2024,WA,0,281420,0,kitsap
Kitsap County,2025,WA,4,281420,1.4213630872006255,kitsap
Kittitas County,2022,WA,1,47368,2.1111298767100153,kittitas
Kittitas County,2023,WA,1,47845,2.0900825582610514,kittitas
Kittitas County,2024,WA,0,48172,0,kittitas
Kittitas County,2025,WA,1,48172,2.075894710620277,kittitas
Klickitat County,2022,WA,1,23248,4.301445285615967,klickitat
Klickitat County,2023,WA,2,23688,8.44309354947653,klickitat
Klickitat County,2024,WA,1,24124,4.14524954402255,klickitat
Klickitat County,2025,WA,3,24124,12.43574863206765,klickitat
Lewis County,2022,WA,2,85307,2.3444734898660133,lewis
Lewis County,2023,WA,2,86264,2.318464249281276,lewis
Lewis County,2024,WA,0,87049,0,lewis
Lewis County,2025,WA,4,87049,4.595113097221105,lewis
Mason County,2022,WA,9,68238,13.189132155104195,mason
Mason County,2023,WA,20,68754,29.089216627396222,mason
Mason County,2024,WA,22,69632,31.59466911764706,mason
Mason County,2025,WA,40,69632,57.44485294117647,mason
Pierce County,2022,WA,62,927313,6.685984128336387,pierce
Pierce County,2023,WA,59,931718,6.332388126020964,pierce
Pierce County,2024,WA,147,941170,15.618857379644485,pierce
Pierce County,2025,WA,89,941170,9.456315012165708,pierce
San Juan County,2022,WA,0,18666,0,san juan
San Juan County,2023,WA,2,18605,10.749798441279227,san juan
San Juan County,2024,WA,0,18668,0,san juan
San Juan County,2025,WA,1,18668,5.356760231412042,san juan
Skagit County,2022,WA,7,131229,5.334186803221849,skagit
Skagit County,2023,WA,6,131754,4.553941436313129,skagit
Skagit County,2024,WA,3,132736,2.260125361620058,skagit
Skagit County,2025,WA,35,132736,26.368129218900677,skagit
Snohomish County,2022,WA,13,841529,1.544807130829716,snohomish
Snohomish County,2023,WA,23,850297,2.704937216055096,snohomish
Snohomish County,2024,WA,17,864113,1.9673352906390715,snohomish
Snohomish County,2025,WA,66,864113,7.637889951892865,snohomish
Spokane County,2022,WA,94,549835,17.096037902279775,spokane
Spokane County,2023,WA,94,552758,17.00563356839702,spokane
Spokane County,2024,WA,25,555947,4.496831532502199,spokane
Spokane County,2025,WA,83,555947,14.9294806879073,spokane
Thurston County,2022,WA,1,298645,0.3348457198345862,thurston
Thurston County,2023,WA,0,299519,0,thurston
Thurston County,2024,WA,0,302912,0,thurston
Thurston County,2025,WA,8,302912,2.641031058525248,thurston
Walla Walla County,2022,WA,3,62085,4.832085044696787,walla walla
Walla Walla County,2023,WA,7,61789,11.328877308258752,walla walla
Walla Walla County,2024,WA,2,62068,3.2222723464587224,walla walla
Walla Walla County,2025,WA,9,62068,14.500225559064251,walla walla
Whatcom County,2022,WA,7,230701,3.0342304541376066,whatcom
Whatcom County,2023,WA,14,232686,6.0166920227259055,whatcom
Whatcom County,2024,WA,10,234954,4.256152268103544,whatcom
Whatcom County,2025,WA,200,234954,85.12304536207087,whatcom
Whitman County,2022,WA,0,47653,0,whitman
Whitman County,2023,WA,0,47900,0,whitman
Whitman County,2024,WA,0,48399,0,whitman
Whitman County,2025,WA,1,48399,2.066158391702308,whitman
Yakima County,2022,WA,126,256566,49.110170482448964,yakima
Yakima County,2023,WA,216,257193,83.98362319347727,yakima
Yakima County,2024,WA,165,258523,63.82410849324818,yakima
Yakima County,2025,WA,477,258523,184.5096954622993,yakima
Benton County,2022,OR,0,97406,0,benton
Benton County,2023,OR,0,98566,0,benton
Benton County,2024,OR,3,98899,3.033397708773597,benton
Benton County,2025,OR,1,98899,1.011132569591199,benton
Clackamas County,2022,OR,8,423217,1.8902832353142716,clackamas
Clackamas County,2023,OR,9,424396,2.1206608921856,clackamas
Clackamas County,2024,OR,3,425857,0.7044618263877311,clackamas
Clackamas County,2025,OR,131,425857,30.761499752264257,clackamas
Clatsop County,2022,OR,2,41595,4.808270224786633,clatsop
Clatsop County,2023,OR,1,41089,2.4337413906398306,clatsop
Clatsop County,2024,OR,0,41043,0,clatsop
Clatsop County,2025,OR,22,41043,53.60231951855371,clatsop
Columbia County,2022,OR,0,53589,0,columbia
Columbia County,2023,OR,0,53918,0,columbia
Columbia County,2024,OR,0,54063,0,columbia
Columbia County,2025,OR,7,54063,12.947857129645046,columbia
Deschutes County,2022,OR,4,206491,1.9371304318348015,deschutes
Deschutes County,2023,OR,0,208857,0,deschutes
Deschutes County,2024,OR,0,211535,0,deschutes
Deschutes County,2025,OR,2,211535,0.9454700167820927,deschutes
Douglas County,2022,OR,0,112226,0,douglas
Douglas County,2023,OR,0,112435,0,douglas
Douglas County,2024,OR,0,112255,0,douglas
Douglas County,2025,OR,4,112255,3.5633156652264932,douglas
Hood River County,2022,OR,1,24028,4.16181122024305,hood river
Hood River County,2023,OR,0,23811,0,hood river
Hood River County,2024,OR,0,23764,0,hood river
Hood River County,2025,OR,17,23764,71.53677832014813,hood river
Jackson County,2022,OR,45,222153,20.25630984051532,jackson
Jackson County,2023,OR,68,221338,30.722243808112477,jackson
Jackson County,2024,OR,10,221331,4.518119919938915,jackson
Jackson County,2025,OR,47,221331,21.2351636237129,jackson
Jefferson County,2022,OR,0,25319,0,jefferson
Jefferson County,2023,OR,0,25480,0,jefferson
Jefferson County,2024,OR,1,25536,3.916040100250626,jefferson
Jefferson County,2025,OR,7,25536,27.412280701754383,jefferson
Josephine County,2022,OR,2,87786,2.2782676053129203,josephine
Josephine County,2023,OR,2,88001,2.272701446574471,josephine
Josephine County,2024,OR,0,88276,0,josephine
Josephine County,2025,OR,8,88276,9.062485839865875,josephine
Klamath County,2022,OR,1,70404,1.4203738423953185,klamath
Klamath County,2023,OR,0,70347,0,klamath
Klamath County,2024,OR,0,70438,0,klamath
Klamath County,2025,OR,0,70438,0,klamath
Lake County,2022,OR,0,8365,0,lake
Lake County,2023,OR,0,8307,0,lake
Lake County,2024,OR,0,8194,0,lake
Lake County,2025,OR,1,8194,12.204051745179399,lake
Lane County,2022,OR,109,386187,28.22466836014677,lane
Lane County,2023,OR,173,382151,45.27006340425643,lane
Lane County,2024,OR,44,382396,11.506396510423748,lane
Lane County,2025,OR,135,382396,35.303716566072865,lane
Lincoln County,2022,OR,1,50756,1.970210418472693,lincoln
Lincoln County,2023,OR,2,51307,3.8981035726119244,lincoln
Lincoln County,2024,OR,0,51212,0,lincoln
Lincoln County,2025,OR,3,51212,5.8580020307740375,lincoln
Linn County,2022,OR,4,130516,3.064758343804591,linn
Linn County,2023,OR,2,131509,1.5208084617782813,linn
Linn County,2024,OR,3,132474,2.2645953168168846,linn
Linn County,2025,OR,23,132474,17.36189742892945,linn
Marion County,2022,OR,8,349388,2.2897180212256862,marion
Marion County,2023,OR,2,349874,0.5716343597980987,marion
Marion County,2024,OR,28,352867,7.935001006044771,marion
Marion County,2025,OR,285,352867,80.76697452581284,marion
Multnomah County,2022,OR,140,795960,17.588823558972813,multnomah
Multnomah County,2023,OR,195,794271,24.55081452048482,multnomah
Multnomah County,2024,OR,179,795897,22.490347369069113,multnomah
Multnomah County,2025,OR,1394,795897,175.14829180157733,multnomah
Polk County,2022,OR,0,89986,0,polk
Polk County,2023,OR,1,90290,1.1075423634954038,polk
Polk County,2024,OR,1,90549,1.1043744271057658,polk
Polk County,2025,OR,7,90549,7.730620989740361,polk
Tillamook County,2022,OR,1,27516,3.634249164122692,tillamook
Tillamook County,2023,OR,0,27423,0,tillamook
Tillamook County,2024,OR,0,27264,0,tillamook
Tillamook County,2025,OR,2,27264,7.335680751173709,tillamook
Umatilla County,2022,OR,0,79732,0,umatilla
Umatilla County,2023,OR,0,79872,0,umatilla
Umatilla County,2024,OR,0,80491,0,umatilla
Umatilla County,2025,OR,3,80491,3.727124771713608,umatilla
Wasco County,2022,OR,0,26535,0,wasco
Wasco County,2023,OR,0,26402,0,wasco
Wasco County,2024,OR,2,26507,7.54517674576527,wasco
Wasco County,2025,OR,16,26507,60.36141396612216,wasco
Washington County,2022,OR,23,600229,3.8318708359642732,washington
Washington County,2023,OR,21,604831,3.472044256990796,washington
Washington County,2024,OR,23,611272,3.7626457616249396,washington
Washington County,2025,OR,678,611272,110.91625332094388,washington
Yamhill County,2022,OR,31,107817,28.75242308726824,yamhill
Yamhill County,2023,OR,45,109146,41.22917926447144,yamhill
Yamhill County,2024,OR,37,110886,33.36760276319824,yamhill
Yamhill County,2025,OR,94,110886,84.7717475605577,yamhill
